[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000046] evaluation = 0 values: 9/9/4
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 5 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000047] evaluation = 0 values: 9/9/5
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 6 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000048] evaluation = 0 values: 13/13/5
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 7 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000049] evaluation = 0 values: 13/13/5
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 8 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000050] evaluation = 0 values: 15/13/5
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 9 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000051] evaluation = 0 values: 15/16/5
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 10 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000052] evaluation = 0 values: 15/16/8
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 11 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000053] evaluation = 0 values: 15/19/8
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 12 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000054] evaluation = 0 values: 15/19/8
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 13 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000055] evaluation = 0 values: 15/21/8
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 14 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000056] evaluation = 0 values: 21/21/10
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 15 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000057] evaluation = 0 values: 5/21/10
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 16 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000058] evaluation = 0 values: 5/13/10
[DEBUG] 2015-07-20 01:48:29.141 	 Controller 17 created
[DEBUG] 2015-07-20 01:48:29.141 	 ID [2000059] evaluation = 0 values: 9/16/5
[DEBUG] 2015-07-20 01:48:29.142 	 Controller 18 created
[DEBUG] 2015-07-20 01:48:29.142 	 ID [2000060] evaluation = 0 values: 5/5/3
[DEBUG] 2015-07-20 01:48:29.142 	 Controller 19 created
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Generation 2 added to sandbox.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000041 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000042 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000043 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000044 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000045 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000046 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000047 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000048 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000049 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000050 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000051 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000052 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000053 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000054 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000055 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000056 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000057 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000058 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000059 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000060 created.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Generation 2 initiated.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Generation 2 started processing simulations.
[DEBUG] 2015-07-20 01:48:29.142 	 [AI] Specimen 2000041 starting simulation.
[DEBUG] 2015-07-20 01:48:29.148 	 [AI] Specimen 2000041 finished simulation.
[DEBUG] 2015-07-20 01:48:29.148 	 [AI] Specimen 2000042 starting simulation.
[DEBUG] 2015-07-20 01:48:29.151 	 [AI] Specimen 2000042 finished simulation.
[DEBUG] 2015-07-20 01:48:29.151 	 [AI] Specimen 2000043 starting simulation.
[DEBUG] 2015-07-20 01:48:29.154 	 [AI] Specimen 2000043 finished simulation.
[DEBUG] 2015-07-20 01:48:29.154 	 [AI] Specimen 2000044 starting simulation.
[DEBUG] 2015-07-20 01:48:29.158 	 [AI] Specimen 2000044 finished simulation.
[DEBUG] 2015-07-20 01:48:29.158 	 [AI] Specimen 2000045 starting simulation.
[DEBUG] 2015-07-20 01:48:29.162 	 [AI] Specimen 2000045 finished simulation.
[DEBUG] 2015-07-20 01:48:29.162 	 [AI] Specimen 2000046 starting simulation.
[DEBUG] 2015-07-20 01:48:29.166 	 [AI] Specimen 2000046 finished simulation.
[DEBUG] 2015-07-20 01:48:29.166 	 [AI] Specimen 2000047 starting simulation.
[DEBUG] 2015-07-20 01:48:29.171 	 [AI] Specimen 2000047 finished simulation.
[DEBUG] 2015-07-20 01:48:29.171 	 [AI] Specimen 2000048 starting simulation.
[DEBUG] 2015-07-20 01:48:29.178 	 [AI] Specimen 2000048 finished simulation.
[DEBUG] 2015-07-20 01:48:29.178 	 [AI] Specimen 2000049 starting simulation.
[DEBUG] 2015-07-20 01:48:29.185 	 [AI] Specimen 2000049 finished simulation.
[DEBUG] 2015-07-20 01:48:29.185 	 [AI] Specimen 2000050 starting simulation.
[DEBUG] 2015-07-20 01:48:29.193 	 [AI] Specimen 2000050 finished simulation.
[DEBUG] 2015-07-20 01:48:29.193 	 [AI] Specimen 2000051 starting simulation.
[DEBUG] 2015-07-20 01:48:29.202 	 [AI] Specimen 2000051 finished simulation.
[DEBUG] 2015-07-20 01:48:29.202 	 [AI] Specimen 2000052 starting simulation.
[DEBUG] 2015-07-20 01:48:29.216 	 [AI] Specimen 2000052 finished simulation.
